name,url,category,open_source,best_for,pricing,hosting,notes
Agno,https://github.com/agno-agi/agno,Agent Framework,yes,full-stack agent building in Python,open-source,local/cloud,Part of the newer wave of developer-facing agent frameworks
Atomic Agents,https://github.com/BrainBlend-AI/atomic-agents,Agent Framework,yes,modular agent composition,open-source,local/cloud,Useful if you prefer smaller composable pieces
AutoGen,https://github.com/microsoft/autogen,Agent Framework,yes,multi-agent orchestration,open-source,local/cloud,Historically influential in the modern agent wave
BeeAI Framework,https://github.com/i-am-bee/beeai-framework,Agent Framework,yes,multi-agent developer workflows,open-source,local/cloud,Interesting OSS framework with enterprise-builder flavor
CAMEL-AI,https://github.com/camel-ai/camel,Agent Framework,yes,multi-agent research and simulation,open-source,local/cloud,Often referenced in agent research circles
ControlFlow,https://github.com/PrefectHQ/ControlFlow,Agent Framework,yes,structured agent workflows,open-source,local/cloud,Interesting for builders who want orchestration discipline
Genkit,https://firebase.google.com/docs/genkit,Agent Framework,yes,AI app and agent development with Firebase,open-source,local/cloud,Relevant for builders already in the Firebase ecosystem
Griptape,https://github.com/griptape-ai/griptape,Agent Framework,yes,tool-aware AI structures,open-source,local/cloud,Framework flavor aimed at structured AI systems
Haystack,https://github.com/deepset-ai/haystack,Agent Framework,yes,search and RAG pipelines with agent features,open-source/paid,local/cloud,Long-running OSS stack with strong retrieval roots
LangGraph,https://github.com/langchain-ai/langgraph,Agent Framework,yes,stateful agent orchestration,open-source/paid,local/cloud,Strong for controlled graph-based flows
Langroid,https://github.com/langroid/langroid,Agent Framework,yes,multi-agent LLM applications,open-source,local/cloud,Developer-focused and more code-centric than no-code tools
LlamaIndex,https://github.com/run-llama/llama_index,Agent Framework,yes,RAG and data-aware agent systems,open-source/paid,local/cloud,More than agents but still central in many stacks
Mastra,https://github.com/mastra-ai/mastra,Agent Framework,yes,TypeScript agent apps,open-source,local/cloud,Strong fit for modern TS builders
OpenAI Agents SDK,https://github.com/openai/openai-agents-python,Agent Framework,yes,building agents on OpenAI primitives,open-source,local/cloud,Important reference for provider-native agent tooling
PydanticAI,https://github.com/pydantic/pydantic-ai,Agent Framework,yes,Pythonic agent development,open-source,local/cloud,Clean ergonomics for developers who like typed systems
Semantic Kernel,https://github.com/microsoft/semantic-kernel,Agent Framework,yes,enterprise AI orchestration,open-source,local/cloud,Strong enterprise and .NET adjacency
smolagents,https://github.com/huggingface/smolagents,Agent Framework,yes,lightweight code agents,open-source,local/cloud,Appealing minimalism and good educational value
Vercel AI SDK,https://github.com/vercel/ai,Agent Framework,yes,AI app and agent development in JS,open-source,local/cloud,Foundational SDK for many TypeScript AI apps
Letta,https://github.com/letta-ai/letta,Agent Memory Layer / Framework,yes,memory-centric stateful agents,open-source,local/cloud,Memory-centric framework with persistent conversation and agent memory capabilities
Mem0,https://github.com/mem0ai/mem0,Agent Memory Layer,yes,persistent long-term memory for AI agents,open-source/paid,local/cloud,Self-improving memory with user/session/agent scopes and vector search
Zep,https://github.com/getzep/zep,Agent Memory Layer,yes,session memory and knowledge extraction,open-source/paid,local/cloud,Long-term memory for chatbots and agents with temporal awareness
Google A2A,https://google.github.io/A2A,Agent Protocol / Standard,yes,agent-to-agent communication,open-source,local/cloud,Google's answer to MCP — focuses on inter-agent communication
Model Context Protocol,https://modelcontextprotocol.io,Agent Protocol / Standard,yes,standardized agent-tool communication,open-source,local/cloud,Open standard by Anthropic — the USB-C of AI agent tooling
